Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
27-05-2011,Dr Datson Labs,120,0.14,2.65,1.84,234,218,311.25,33.01,6.29,-97.31
14-06-2011,VMS Industries,25.75,0,1.11,3.41,40,43.95,28.5,-28.75,15,-62.5
22-06-2011,Timbor Home,23.25,0.65,3.22,14.22,63,72,91.2,44.76,2.21,-96.49
07-07-2011,Rushil Decor,40.64,0.23,1.35,6.57,72,81.25,104.49,45.12,404.9,462.36
07-07-2011,Birla Pacific,65.18,1.04,0.17,1.82,10,10.1,25.35,153.5,0.28,-97.2
13-07-2011,Kridhan Infra,34.75,0.03,1.37,4.18,108,115,13.29,-87.69,5.86,-94.57
28-07-2011,Bharatiya Glob,55.1,0,1.94,5.06,82,84,30.95,-62.26,5.2,-93.66
04-08-2011,Inventure Grow,81.9,0.25,9.49,8.66,117,119,5.2,-95.56,4.15,-96.45
12-08-2011,L&T Finance,1245,1.93,6.18,9.61,52,53.85,46.46,-10.65,71.25,37.02
26-08-2011,Tree House,112.06,1.02,1.68,2.76,135,132.8,116.55,-13.67,10.34,-92.34
05-09-2011,Brooks Labs,63,0,2.82,3.36,100,110,50.2,-49.8,88.65,-11.35
08-09-2011,TD Power System,227,6.52,0.32,0.36,256,251.6,274.8,7.34,385,50.39
16-09-2011,SRS,227.5,0.74,5,0.29,58,55,16.83,-70.98,0.19,-99.67
26-09-2011,PG Electroplast,120.65,0.98,1.84,1.64,210,200,411.65,96.02,644,206.67
04-10-2011,Setubandhan Inf,60,0.31,2.76,4.68,138,145,22.95,-83.37,3.24,-97.65
17-10-2011,Onelife Capital,36.85,1.02,0.93,2.32,110,115,145.9,32.64,14.3,-87
19-10-2011,Taksheel Solut,82.5,0.24,4.7,6.18,150,157.4,58.15,-61.23,3.85,-97.43
19-10-2011,Flexituff Ventu,104.63,0.51,1.55,1.55,155,155,166.4,7.35,27.5,-82.26
20-10-2011,Ujaas Energy,93,1.03,1.56,2.35,186,180,31.76,-82.92,4.75,-97.45
24-10-2011,Vaswani Ind,49,0.16,11.29,6.82,49,33.45,17.75,-63.78,22.2,-54.69
02-11-2011,Indo Thai Secu,33.6,0,0.02,3.31,74,76,23,-68.92,304,310.81
09-03-2012,MCX India,663.31,49.12,150.35,24.14,1032,1387,1297.05,25.68,1402.35,35.89
28-03-2012,Olympic Cards,25,0,3.43,1.36,30,29.95,28.5,-5,4.24,-85.87
12-04-2012,MT Educare,99,6.01,8,2.17,80,86.05,90.35,12.94,9.88,-87.65
12-04-2012,NBCC (India),127.2,7.07,1.7,3.4,106,100,6.47,-93.9,41.25,-61.08
09-05-2012,Tribhovandas,210,1.29,1.91,0.68,120,115,111.2,-7.33,70.7,-41.08
30-05-2012,Speciality Rest,181.96,4.68,2.19,0.55,150,153,160.65,7.1,146.75,-2.17
18-07-2012,VKS Projects,55,1.15,0.38,1.13,55,55.8,1.57,-97.15,0.04,-99.93
06-12-2012,Tara Jewels,0,1.49,3.1,2.05,230,242,229.95,-0.02,0.76,-99.67
26-12-2012,CARE Ratings,539.98,45.8,110.96,6.18,750,940,923.95,23.19,526,-29.87
27-12-2012,PC Jeweller,609.3,7.33,18.12,1.68,135,137,74.5,-44.81,22.1,-83.63
28-12-2012,INDUS TOWERS,4533.6,2.84,0.1,0.06,220,200,191.2,-13.09,253,15
01-04-2013,Repco Home,270.38,3.39,0.35,0.51,172,159.95,160.85,-6.48,232.6,35.23
05-06-2013,Just Dial,950,10.12,22.34,3.53,530,590,611.45,15.37,804.05,51.71
09-05-2014,Wonderla,181.25,16.71,159.04,7.56,125,164.75,157.6,26.08,223.1,78.48
12-09-2014,Snowman Logist,197.4,16.98,221.79,41.26,47,75,78.75,67.55,36.2,-22.98
23-09-2014,Sharda Crop,352,32.06,251.35,5.85,156,254.1,231.45,48.37,559.6,258.72
01-10-2014,Shemaroo Ent,120,5.69,8.64,7.79,170,180,171,0.59,122.45,-27.97
19-12-2014,Monte Carlo,342.28,13.96,1.71,6.96,645,585,566.4,-12.19,529,-17.98
19-03-2015,Ortel Comm,240,1.01,0.09,0.39,181,181,171.95,-5,1.72,-99.05
06-04-2015,Imagicaaworld,467,1.17,0.49,1.37,180,167.95,191.25,6.25,13.58,-92.46
09-04-2015,Inox Wind,700,35.68,35.38,2.15,325,400,438,34.77,119.1,-63.35
30-04-2015,VRL Logistics,473.88,58.22,250.86,7.92,205,288,293.3,43.07,473.55,131
06-05-2015,MEP Infra,324,1.02,1.51,0.97,63,63,60.95,-3.25,23.9,-62.06
14-05-2015,UFO Moviez,600,4.49,1.17,1.02,625,600,598.8,-4.19,97.3,-84.43
26-05-2015,PNC Infratech,488,4.51,0.65,0.28,378,381,72.04,-80.94,274.45,-27.39
09-07-2015,Manpasand Bever,400,1.99,0.38,1.16,320,291,163.43,-48.93,6.14,-98.08
11-08-2015,Syngene Intl,550,51.47,90.24,4.78,250,295,155.2,-37.92,565,126
26-08-2015,Power Mech,273.22,27.53,133.22,3.42,640,600,585.75,-8.48,901.1,40.8
09-09-2015,Navkar Corp,600,6.47,0.9,1.62,155,152,166.4,7.35,35.75,-76.94
10-09-2015,Pennar Eng,156.19,0,0.04,0.11,178,177.95,157.5,-11.52,63.85,-64.13
10-09-2015,Shree Pushkar,70,0.97,2.09,1.54,65,60.05,63,-3.08,235.6,262.46
16-09-2015,Sadbhav Infra,425,3.04,1.66,1.69,103,111,106.15,3.06,12.66,-87.71
21-09-2015,Prabhat Dairy,300,0.88,1.42,0.34,115,113,116.35,1.17,99.65,-13.35
02-11-2015,Coffee Day,1150,4.39,0.54,0.9,328,313,270.15,-17.64,61.95,-81.11
10-11-2015,Interglobe Avi,3000,17.8,3.57,0.92,765,868,878.45,14.83,2120.3,177.16
16-11-2015,S H Kelkar,200,0,0,0,180,216,207.3,15.17,149.2,-17.11
23-12-2015,Alkem Lab,1349.6,57.19,129.96,3.17,1050,1380,1381.45,31.57,3335.9,217.7
23-12-2015,Dr Lal PathLab,638,63.56,61.28,4.24,550,717,824.15,49.85,2735,397.27
06-01-2016,Narayana Hruda,613,0.01,0.01,0.13,250,291,336.7,34.68,653,161.2
08-02-2016,Precision Camsh,410,2.62,0.73,2.01,186,165,177.25,-4.7,144.85,-22.12
12-02-2016,TeamLease Ser.,273.68,26.97,185.24,10.61,850,860,1021.95,20.23,3987.85,369.16
18-02-2016,Quick Heal Tech,450,4.34,36.69,3.82,321,305,254.45,-20.73,196,-38.94
01-04-2016,Bharat Wire Rop,70,1.01,2.02,2.08,45,47.25,45.4,0.89,76.55,70.11
21-04-2016,Equitas Holding,2159,14.93,57.29,1.4,110,145.1,135.25,22.95,112,1.82
09-05-2016,Thyrocare Techn,479.21,73.18,225.3,8.73,446,662,618.1,38.59,891.75,99.94
10-05-2016,Ujjivan Financi,358.16,33.84,135.45,4.02,210,231.9,231.6,10.29,113.3,-46.05
19-05-2016,Parag Milk Food,764.3,1.15,3.08,2.12,215,230,247.8,15.26,105.6,-50.88
01-07-2016,Mahanagar Gas,1039.64,72.84,191.61,6.82,421,540,519.9,23.49,768.7,82.59
12-07-2016,Quess Corp,400,59.02,392.21,31.23,317,500,503,58.68,650.2,105.11
21-07-2016,L&T Infotech,1242,19.91,10.76,7.39,710,667,697.65,-1.74,5870,726.76
01-08-2016,Advanced Enzyme,60,94.03,393.1,11.67,896,1210,235.66,-73.7,297,-66.85
11-08-2016,Dilip Buildcon,430,0,0,0,219,240,251.95,15.05,294.15,34.32
12-08-2016,S P Apparels,215,1,0.45,0.54,268,275,295,10.07,415.25,54.94
31-08-2016,RBL Bank,1100,85.08,198.06,5.7,225,274.4,299.3,33.02,140,-37.78
23-09-2016,L&T Technology,900,5.01,1.03,1.74,860,900,865.1,0.59,4462,418.84
27-09-2016,GNA Axles,130.41,17.18,217.47,11.84,207,252,233.45,12.78,506.9,144.88
29-09-2016,ICICI Prudentia,6057,11.83,28.55,1.42,334,329,297.65,-10.88,525.15,57.23
04-10-2016,HPL Electric & ,361,5.77,22.2,3.31,202,190,189.05,-6.41,67.65,-66.51
