Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
06-08-2021,Glenmark Life,1513,0.98,0.87,4.61,720,752,748.2,3.92,523,-27.36
09-08-2021,Rolex Rings,732.27,143.58,360.11,24.49,900,1249,1166.55,29.62,1225.25,36.14
16-08-2021,Windlas Biotech,405.95,24.4,15.73,24.27,460,439,406.7,-11.59,262.8,-42.87
16-08-2021,Devyani Int,1858,95.27,213.06,39.52,90,141,123.35,37.06,166.1,84.56
16-08-2021,Exxaro Tiles,161.09,17.67,5.36,40.1,120,126,132.25,10.21,127.7,6.42
16-08-2021,Krsnaa Diagnost,1222,49.83,116.3,42.04,954,1025,990.75,3.85,600.5,-37.05
20-08-2021,CarTrade Tech,2998,0.55,0.09,0.81,1618,1600,1500.1,-7.29,587.8,-63.67
23-08-2021,Nuvoco Vistas,5089.29,0.1,0.02,0.24,570,471,531.3,-6.79,383.25,-32.76
24-08-2021,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,541,570,534.9,-1.13,524,-3.14
06-09-2021,APTUS VALUE,2790,32.41,33.91,1.35,353,360,374.05,5.96,355.2,0.62
14-09-2021,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531,542.3,619.3,16.63,434.4,-18.19
14-09-2021,AMI Organics,571.96,86.64,154.81,13.36,610,902,934.55,53.2,912.6,49.61
24-09-2021,Sansera Eng,1282,26.47,11.37,3.15,744,845.05,818.7,10.04,659.9,-11.3
01-10-2021,Paras Defence,181.13,90.48,435.14,61.42,175,475,498.75,185,654.55,274.03
11-10-2021,ABSL AMC,2768,4.1,2.6,1.68,712,697.5,699.65,-1.73,509.2,-28.48
10-11-2021,FSN E-Co Nykaa,5375,91.18,112.02,12.24,1125,2001,2206.7,96.15,1399.25,24.38
12-11-2021,Fino Payments,1209,1.65,0.21,5.92,577,548,545.25,-5.5,310.15,-46.25
15-11-2021,PB Fintech,6273.5,9.83,2.58,1.67,980,1444,1202.9,22.74,751.5,-23.32
15-11-2021,SJS Enterprises,816.57,1.42,2.32,1.38,542,514,509.85,-5.93,389.35,-28.16
15-11-2021,Sigachi Ind,0,42.15,78.82,41.26,163,575,603.75,270.4,319.7,96.13
18-11-2021,Sapphire Foods,2073,3.11,2.34,5.25,1180,1311,1216.05,3.06,1418.8,20.24
18-11-2021,One 97 Paytm,18915.9,2.79,0.24,1.66,2150,1955,1564.15,-27.25,833.55,-61.23
23-11-2021,Latent View,622.11,145.48,850.66,119.44,197,530,488.6,148.02,476.9,142.08
26-11-2021,Tarsons Product,1030.22,1.06,3.4,2.49,662,700,840,26.89,654.05,-1.2
10-12-2021,Star Health,7318.15,1.03,0.19,1.1,900,903,906.85,0.76,728.05,-19.11
13-12-2021,Tega Industries,619.23,215.45,666.19,29.44,453,753,725.5,60.15,474.65,4.78
14-12-2021,Anand Rathi,660,2.5,25.42,7.76,550,584.45,583.5,6.09,566.85,3.06
17-12-2021,Rategain Travel,1354,8.42,42.04,8.08,425,364.8,340.5,-19.88,355.75,-16.29
20-12-2021,Shriram Prop,600,1.85,4.82,12.72,118,94,99.4,-15.76,88.3,-25.17
21-12-2021,C. E. Info Syst,1039.61,196.36,424.69,15.2,1033,1581,1394.55,35,1434.45,38.86
22-12-2021,Metro Brands,1376.63,8.49,3.02,1.13,500,436,493.55,-1.29,553.35,10.67
24-12-2021,Data Patterns,601.2,190.86,254.22,23.14,585,864,754.85,29.03,649.7,11.06
27-12-2021,HP Adhesives,125.96,1.82,19.04,81.24,274,319,334.95,22.24,373,36.13
28-12-2021,Supriya Lifesci,700,31.83,161.22,56.01,274,425,390.35,42.46,410.95,49.98
31-12-2021,CMS Info System,1100,1.98,1.45,2.15,216,242.95,237.4,9.91,245.45,13.63
31-01-2022,AGS Transact,716.87,2.68,25.61,3.08,175,176,161.3,-7.83,125.1,-28.51
08-02-2022,Adani Wilmar,3600,5.73,56.3,3.92,230,274,265.2,15.3,354.35,54.07
16-02-2022,Vedant Fashions,3149,7.49,1.07,0.39,866,950,934.85,7.95,906.75,4.71
